Type,Hue,Saturation,Value
Fields,25.0,245.0,173.0
Fields,25.0,253.0,171.0
Fields,25.0,252.0,176.0
Fields,25.0,254.0,175.0
Fields,25.0,248.0,160.0
Fields,25.0,252.0,182.0
Fields,24.0,248.0,172.0
Fields,25.0,248.0,183.0
Fields,25.0,251.0,173.0
Fields,25.0,253.0,135.0
Fields,25.0,251.0,174.0
Fields,25.0,244.0,166.0
Fields,25.0,243.0,176.0
Fields,25.0,246.0,176.0
Fields,25.0,252.0,179.0
Fields,25.0,252.0,180.0
Fields,25.0,251.0,181.0
Fields,24.0,234.0,158.0
Fields,25.0,240.0,172.0
Fields,25.0,240.0,170.0
Fields,25.0,248.0,172.0
Fields,25.0,252.0,174.0
Fields,25.0,251.0,176.0
Fields,25.0,249.0,174.0
Fields,25.0,246.0,170.0
Fields,25.0,248.0,173.0
Fields,25.0,239.0,170.0
Fields,25.0,245.0,168.0
Fields,25.0,243.0,170.0
Fields,25.0,255.0,153.0
Fields,26.0,251.0,172.0
Fields,25.0,245.0,167.0
Fields,25.0,242.0,175.0
Fields,25.0,246.0,176.0
Fields,25.0,252.0,177.0
Fields,25.0,252.0,178.0
Fields,25.0,251.0,179.0
Fields,25.0,253.0,164.0
Fields,25.0,255.0,166.0
Fields,25.0,250.0,165.0
Fields,25.0,253.0,165.0
Fields,25.0,250.0,171.0
Fields,25.0,239.0,170.0
Fields,25.0,232.0,160.0
Fields,25.0,236.0,172.0
Fields,25.0,234.0,171.0
Fields,25.0,242.0,172.0
Fields,25.0,252.0,175.0
Fields,25.0,251.0,177.0
Fields,25.0,248.0,175.0
Fields,25.0,244.0,171.0
Fields,25.0,248.0,171.0
Fields,25.0,240.0,168.0
Fields,25.0,248.0,161.0
Fields,25.0,244.0,154.0
Fields,25.0,253.0,162.0
Fields,26.0,231.0,179.0
Fields,26.0,240.0,181.0
Fields,25.0,227.0,173.0
Fields,26.0,245.0,186.0
Fields,26.0,233.0,174.0
Fields,26.0,241.0,169.0
Fields,24.0,254.0,183.0
Fields,24.0,254.0,185.0
Fields,23.0,250.0,185.0
Fields,23.0,250.0,191.0
Fields,23.0,254.0,177.0
Fields,23.0,246.0,168.0
Fields,23.0,241.0,179.0
Fields,23.0,245.0,166.0
Fields,24.0,248.0,181.0
Fields,23.0,244.0,175.0
Fields,23.0,227.0,182.0
Fields,24.0,245.0,185.0
Fields,24.0,239.0,187.0
Fields,23.0,226.0,185.0
Fields,23.0,225.0,180.0
Fields,23.0,222.0,190.0
Fields,23.0,229.0,188.0
Fields,23.0,240.0,185.0
Fields,23.0,226.0,170.0
Fields,24.0,254.0,186.0
Fields,24.0,249.0,195.0
Fields,23.0,243.0,196.0
Fields,23.0,247.0,198.0
Fields,23.0,248.0,193.0
Ocean,105.0,254.0,184.0
Ocean,105.0,251.0,180.0
Ocean,105.0,224.0,152.0
Ocean,106.0,227.0,143.0
Ocean,106.0,250.0,137.0
Ocean,107.0,253.0,151.0
Ocean,106.0,252.0,159.0
Ocean,106.0,254.0,164.0
Ocean,106.0,252.0,150.0
Ocean,106.0,249.0,118.0
Ocean,105.0,245.0,142.0
Ocean,42.0,237.0,147.0
Ocean,23.0,151.0,107.0
Ocean,34.0,59.0,123.0
Ocean,26.0,241.0,187.0
Ocean,105.0,245.0,134.0
Ocean,42.0,210.0,152.0
Ocean,105.0,253.0,159.0
Ocean,25.0,75.0,42.0
Ocean,27.0,244.0,190.0
Ocean,106.0,252.0,157.0
Ocean,26.0,239.0,184.0
Ocean,26.0,242.0,186.0
Ocean,42.0,222.0,147.0
Ocean,36.0,180.0,61.0
Ocean,108.0,252.0,140.0
Ocean,108.0,250.0,116.0
Ocean,108.0,255.0,153.0
Ocean,109.0,253.0,147.0
Ocean,109.0,255.0,151.0
Ocean,108.0,255.0,157.0
Ocean,109.0,255.0,153.0
Ocean,107.0,254.0,171.0
Ocean,107.0,253.0,168.0
Ocean,108.0,253.0,148.0
Ocean,108.0,253.0,137.0
Ocean,108.0,244.0,109.0
Ocean,108.0,253.0,139.0
Ocean,108.0,241.0,117.0
Ocean,108.0,247.0,113.0
Ocean,108.0,251.0,136.0
